"filename", "language", "JavaScript", "XML", "CSS", "JSON", "Markdown", "HTML", "SQL", "Python", "comment", "blank", "total"
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 0, 33, 71
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/package-lock.json", "JSON", 0, 0, 0, 17581, 0, 0, 0, 0, 0, 1, 17582
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/package.json", "JSON", 0, 0, 0, 49, 0, 0, 0, 0, 0, 1, 50
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/public/favicons/browserconfig.xml", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/public/favicons/safari-pinned-tab.svg", "XML", 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/public/favicons/site.webmanifest", "JSON", 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/public/index.html", "HTML", 0, 0, 0, 0, 0, 26, 0, 0, 2, 22, 50
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/public/manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/schema_dump.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/server/connection.js", "JavaScript", 264, 0, 0, 0, 0, 0, 0, 0, 1, 132, 397
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/server/get-pip.py", "Python", 0, 0, 0, 0, 0, 0, 0, 70, 31997, 33, 32100
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/server/handlers/auth.js", "JavaScript", 124, 0, 0, 0, 0, 0, 0, 0, 20, 103, 247
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/server/handlers/database.js", "JavaScript", 201, 0, 0, 0, 0, 0, 0, 0, 58, 152, 411
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/server/handlers/email.js", "JavaScript", 157, 0, 0, 0, 0, 0, 0, 0, 12, 71, 240
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/server/handlers/images.js", "JavaScript", 135, 0, 0, 0, 0, 0, 0, 0, 7, 87, 229
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/server/handlers/posters.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 48, 93, 189
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/server/server.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 34, 36, 129
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/App.css", "CSS", 0, 0, 242, 0, 0, 0, 0, 0, 8, 86, 336
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/App.js", "JavaScript", 238, 0, 0, 0, 0, 0, 0, 0, 26, 159, 423
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
